,total_cases,new_cases,total_deaths,new_deaths,positive_rate,stringency_index,cci,cci_cur,cci_exp,ism_man,ism_non,cci_lag1,total_c_lag1,total_c_lag2,VaxFull,VaxFul_sq,cpi,gdp,unem,sp500,covid
total_cases,1.000,0.732,0.983,0.646,0.633,0.596,0.094,0.153,-0.035,0.253,0.281,0.098,0.996,0.988,0.956,0.960,0.476,0.495,-0.149,0.681,0.741
new_cases,0.732,1.000,0.760,0.858,0.830,0.700,0.046,0.075,-0.019,0.245,0.238,0.060,0.678,0.667,0.680,0.678,0.433,0.443,-0.036,0.619,0.724
total_deaths,0.983,0.760,1.000,0.698,0.680,0.700,0.104,0.152,-0.007,0.289,0.325,0.105,0.978,0.969,0.961,0.945,0.510,0.530,-0.121,0.734,0.816
new_deaths,0.646,0.858,0.698,1.000,0.781,0.842,0.041,0.042,0.031,0.223,0.200,0.049,0.597,0.560,0.584,0.564,0.456,0.456,0.091,0.631,0.804
positive_rate,0.633,0.830,0.680,0.781,1.000,0.816,0.030,0.036,0.012,0.150,0.121,0.066,0.593,0.586,0.590,0.587,0.456,0.448,0.145,0.613,0.797
stringency_index,0.596,0.700,0.700,0.842,0.816,1.000,0.059,0.041,0.080,0.242,0.233,0.064,0.571,0.549,0.554,0.504,0.513,0.511,0.180,0.696,0.935
cci,0.094,0.046,0.104,0.041,0.030,0.059,1.000,0.965,0.867,0.229,0.497,0.973,0.097,0.097,0.114,0.102,-0.095,-0.035,-0.782,0.335,0.095
cci_cur,0.153,0.075,0.152,0.042,0.036,0.041,0.965,1.000,0.706,0.104,0.399,0.962,0.156,0.158,0.172,0.167,-0.070,-0.005,-0.852,0.359,0.103
cci_exp,-0.035,-0.019,-0.007,0.031,0.012,0.080,0.867,0.706,1.000,0.420,0.584,0.801,-0.036,-0.038,-0.018,-0.041,-0.124,-0.086,-0.492,0.221,0.060
ism_man,0.253,0.245,0.289,0.223,0.150,0.242,0.229,0.104,0.420,1.000,0.776,0.184,0.246,0.238,0.256,0.227,0.279,0.306,-0.072,0.372,0.239
ism_non,0.281,0.238,0.325,0.200,0.121,0.233,0.497,0.399,0.584,0.776,1.000,0.453,0.280,0.275,0.324,0.291,0.242,0.291,-0.366,0.462,0.259
cci_lag1,0.098,0.060,0.105,0.049,0.066,0.064,0.973,0.962,0.801,0.184,0.453,1.000,0.100,0.103,0.122,0.113,-0.100,-0.040,-0.777,0.329,0.107
total_cases_lag1,0.996,0.678,0.978,0.597,0.593,0.571,0.097,0.156,-0.036,0.246,0.280,0.100,1.000,0.995,0.957,0.961,0.469,0.488,-0.155,0.670,0.725
total_cases_lag2,0.988,0.667,0.969,0.560,0.586,0.549,0.097,0.158,-0.038,0.238,0.275,0.103,0.995,1.000,0.959,0.963,0.461,0.482,-0.159,0.659,0.710
VaxFull,0.956,0.680,0.961,0.584,0.590,0.554,0.114,0.172,-0.018,0.256,0.324,0.122,0.957,0.959,1.000,0.990,0.456,0.479,-0.162,0.672,0.704
VaxFul_sq,0.960,0.678,0.945,0.564,0.587,0.504,0.102,0.167,-0.041,0.227,0.291,0.113,0.961,0.963,0.990,1.000,0.440,0.462,-0.171,0.642,0.667
cpi,0.476,0.433,0.510,0.456,0.456,0.513,-0.095,-0.070,-0.124,0.279,0.242,-0.100,0.469,0.461,0.456,0.440,1.000,0.994,0.099,0.845,0.564
gdp,0.495,0.443,0.530,0.456,0.448,0.511,-0.035,-0.005,-0.086,0.306,0.291,-0.040,0.488,0.482,0.479,0.462,0.994,1.000,0.018,0.870,0.566
unem,-0.149,-0.036,-0.121,0.091,0.145,0.180,-0.782,-0.852,-0.492,-0.072,-0.366,-0.777,-0.155,-0.159,-0.162,-0.171,0.099,0.018,1.000,-0.247,0.078
sp500,0.681,0.619,0.734,0.631,0.613,0.696,0.335,0.359,0.221,0.372,0.462,0.329,0.670,0.659,0.672,0.642,0.845,0.870,-0.247,1.000,0.766
covid,0.741,0.724,0.816,0.804,0.797,0.935,0.095,0.103,0.060,0.239,0.259,0.107,0.725,0.710,0.704,0.667,0.564,0.566,0.078,0.766,1.000